governorate,facility_name,facility_type,lat,lng
Irbid,Al-Taibeh/ Irbid,Comprehensive,35.71248333,32.5438
Irbid,Al-Na'imeh,Comprehensive,35.90556667,32.41326667
Irbid,Dahiyat Al-Hussein/ Irbid,Primary,35.84885,32.54181667
Irbid,Al-Tatweer Al-Hadari,Primary,35.8531,32.58943333
Irbid,Bait Ra'ass,Primary,35.86,32.59765
Irbid,Al-Razi/ Irbid,Primary,35.873,32.56133333
Irbid,badee’ah hospital,Hospital,35.835,32.5294
Irbid,rahmah hospital,Hospital,35.83476667,32.52861667
Irbid,princess basma hospital,Hospital,35.83921667,32.55878333
Irbid,Al-Shounah Al-Shamalieh,Primary,35.61404,32.62068
Irbid,Al-Manshiah/ North Ghor,Primary,35.60206,32.58532
Irbid,Wadi Al-Rayyan,Primary,35.58909,32.39373
Irbid,Kreimeh,Primary,35.60017,32.26967
Irbid,Al-Mashare'e,Primary,35.59878,32.44234
Irbid,Waqass,Primary,35.60226,32.53357
Irbid,Abu Seedo,Primary,35.5828,32.31108
Irbid,Al-Sheikh Hussein,Primary,35.58994,32.51697
Irbid,Al-Ma'abar Wadi AL-ordon,Primary,35.58057,32.49348
Irbid,Abi Obidah Hospital in Al Rayan Valley,Hospital,35.58944,32.4057
Irbid,Mua’ath Ben Jabal Hospital,Hospital,35.60763,32.61231
Irbid,Sahel_Houran,Comprehensive,35.96761,32.63849
Irbid,Al-Ramtha  al-shamel,Comprehensive,36.01352,32.55444
Irbid,Al-Ramtha Al-Gharbi,Primary,36.00021,32.55962
Irbid,Al-Turra Al-Shamali,Primary,35.99289,32.64626
Irbid,Al-Turra Al-Janoubi,Primary,35.98833,32.63622
Irbid,Al-Ramtha,Primary,36.00635,32.55954
Irbid,Al-Shajrah,Primary,35.94439,32.64795
Irbid,Ramtha Public Hospital,Hospital,36.01585,32.56678
Irbid,Deir Abi Se'eid,Comprehensive,35.6835,32.50265
Irbid,Kufor Awan,Comprehensive,35.67615,32.42735
Irbid,Samou'e,Primary,35.73273333,32.51755
Irbid,Raya hospital,Hospital,35.69206667,32.50256667
Irbid,Al-Rafeed,Primary,35.8207,32.70282
Irbid,Hriema,Primary,35.87516,32.62573
Irbid,Hibrass,Primary,35.83189,32.66879
Irbid,Abdar,Primary,35.78228,32.65987
Irbid,Yabla,Primary,35.81955,32.68845
Irbid,Al-Hemmeh Al-Ordounieh,Primary,35.68199,32.70492
Irbid,Sahem,Primary,35.77142,32.7003
Irbid,Hartha,Primary,35.84762,32.69076
Irbid,AL-Mkheibeah Al-Tahta,Primary,35.67712,32.67512
Irbid,Malka,Primary,35.75096,32.6718
Irbid,Aqraba,Primary,35.80675,32.72541
Irbid,Samar,Primary,35.78647,32.67733
Irbid,Koufor Soum,Primary,35.80001,32.68479
Irbid,Hatem,Primary,35.77828,32.6462
Irbid,Al-Mansourah/ Bani Kenanah,Primary,35.72103,32.64822
Irbid,Kharja,Primary,35.89058,32.66312
Irbid,Sama Al-Rousan Al-Awali,Primary,35.8364,32.64
Irbid,Um-Qais,Primary,35.69174,32.65258
Irbid,Yarmouk Hospital,Hospital,35.83804,32.6395
Irbid,Correctional Facility Irbid,clinic,,
Irbid,Correctional Facility Um El Lolo -Females,clinic,,
Ajloun,Ajloun HC,Comprehensive,35.7504,32.32792
Ajloun,Sakhra,Comprehensive,35.8397009,32.37905364
Ajloun,Al-Amir Hasan (Kufranjah),Comprehensive,35.70798,32.30102
Ajloun,Eshtafina,Comprehensive,35.78553,32.35854
Ajloun,Al-Hashimiah/ Ajloun,Primary,35.6582,32.36436
Ajloun,Al-Wahadneh,Primary,35.65243,32.32412
Ajloun,Rajeb,Primary,35.69494,32.23701
Ajloun,Rasoun,Primary,35.75759,32.40096
Ajloun,Ba'aoun,Primary,35.72727,32.38363
Ajloun,Awsarah,Primary,35.68818,32.38505
Ajloun,San'ar,Primary,35.79478,32.40152
Ajloun,Al-Istiqlal HC,Primary,35.70203,32.29483
Ajloun,Ein Jana,Primary,35.7669,32.33443
Ajloun,Arajan,Primary,35.73354,32.39601
Ajloun,Abeen,Primary,35.81498333,32.35801667
Ajloun,Halawa,Primary,35.65985,32.38237
Ajloun,Al-Jabal Al-Akhdar (Al-Aqra'),Primary,35.73548,32.23316
Ajloun,Anjara,Primary,35.7561,32.30759
Ajloun,Al-ameer Hashem,Primary,35.71682,32.266
Ajloun,ein albostan,Primary,35.72965598,32.3003051
Ajloun,Al Iman Al Hokomi Hospital,Hospital,35.75399,32.32117
Jarash,Jerash,Comprehensive,35.89518,32.2861
Jarash,Al-Razi/ Jerash,Comprehensive,35.83307,32.27842
Jarash,Sakeb,Primary,35.80737,32.27982
Jarash,Al-Mastaba,Primary,35.85414,32.18369
Jarash,Kufur Khal,Primary,35.88265,32.35763
Jarash,Nahla,Primary,35.82949,32.27516
Jarash,Al-Msheirfeh/ Jerash,Primary,35.97237,32.36975
Jarash,Deir Al-Liyat,Primary,35.8724,32.29769
Jarash,Al-Qadissiah/ Jerash,Primary,35.90437,32.27698
Jarash,Balila,Primary,35.94026,32.38894
Jarash,Al-Hadadah,Primary,35.85521,32.26153
Jarash,Al-Kfeir,Primary,35.930766,32.2166458
Jarash,Souf,Primary,35.85949,32.30339
Jarash,Jabbah,Primary,35.87952,32.18711
Jarash,Barma,Primary,35.79274,32.21938
Jarash,Al-Jazazah,Primary,35.82102,32.23316
Jarash,Qafqafa,Primary,35.93809,32.34864
Jarash,Mreisse'e,Primary,35.87027,32.13739
Jarash,Jarash Hospital,Hospital,35.89728,32.28388
Mafraq,Mghayar Al-Sarhaan,Comprehensive,36.19575,32.4595
Mafraq,Al-Ba'ej,Comprehensive,36.34325,32.36997
Mafraq,Rihab,Comprehensive,36.07878,32.32669
Mafraq,Al-Hamra'a,Comprehensive,36.15276,32.43715
Mafraq,Al-Khalidiah/ Mafraq,Comprehensive,36.30734,32.18458
Mafraq,Nadrah,Comprehensive,35.97544,32.30716
Mafraq,Al-Mansourah/ Mafraq,Comprehensive,36.17484,32.4104
Mafraq,Manshiat Bani Hasan,Comprehensive,36.08172,32.3694
Mafraq,Sama Al-Sarhaan,Comprehensive,36.24006,32.46932
Mafraq,Bal'ama,Comprehensive,36.09107,32.23217
Mafraq,Al-Mafraq AL-shamel,Comprehensive,36.217136,32.347857
Mafraq,Al-Mafraq,Primary,36.21617,32.34757
Mafraq,Al-Hai Al-Janoubi,Primary,36.20428,32.3311
Mafraq,Hai Al-Hussein,Primary,36.20629,32.34954
Mafraq,Al-Za'tari,Primary,36.29823,32.31165
Mafraq,Al-Harsh,Primary,36.05357,32.43467
Mafraq,Tharghrat Al-Jib,Primary,36.22712,32.26948
Mafraq,Al-Dajniah,Primary,36.02265,32.3467
Mafraq,Hosha,Primary,36.10262,32.45182
Mafraq,Jaber Al-Sarhaan,Primary,36.19536,32.50942
Mafraq,Khaled Bin Al-Walid (Al-Zeina),Primary,36.10983,32.19391
Mafraq,Houdoud Jaber,Primary,36.19305,32.51943
Mafraq,Ein Bani Hassan,Primary,36.05651,32.26836
Mafraq,Hayyan Al-Rweibedh,Primary,36.12649,32.24955
Mafraq,Al-Sbeidiah,Primary,36.28561,32.37835
Mafraq,Aydoun Bani Hasan,Primary,36.1794,32.31114
Mafraq,Fa'a,Primary,36.08472,32.42312
Mafraq,AL-Mazrah,Primary,36.13311,32.1632
Mafraq,Um Al-Nia'am  Al awali,Primary,36.12715,32.35297
Mafraq,Um Al-Sarb,Primary,36.3127,32.42528
Mafraq,Al-Mabroukah,Primary,36.28604,32.16089
Mafraq,Um Lolo,Primary,36.09635353,32.38688455
Mafraq,Al rwashed hospital,Hospital,38.32270562,32.59641039
Mafraq,al mafraq Governmental hospital,Hospital,36.19833,32.34491
Mafraq,Gynecoloy & Obstetrics and Children Hospital,Hospital,36.22916,32.31776
Mafraq,Sabha,Comprehensive,36.50120361,32.32249139
Mafraq,Al-Rafa'yat,Comprehensive,36.75553472,32.25989722
Mafraq,Al-Ashrafiah/ North Badia,Comprehensive,36.6209475,32.21715833
Mafraq,Um Al-Jmal,Comprehensive,36.36281861,32.33306417
Mafraq,Deir Al-kahf,Comprehensive,36.83933833,32.26848389
Mafraq,Al-Rweished,Comprehensive,38.188043,32.507701
Mafraq,Al-Badiah Al-Shamali,Comprehensive,36.45576389,32.26654861
Mafraq,Um Al-Qutein,Comprehensive,36.62263083,32.31615444
Mafraq,Al-Bashrieh,Comprehensive,36.81495056,32.15608861
Mafraq,Al-Safawi,Primary,37.12284528,32.19076972
Mafraq,Al-Kome Al-Ahmar,Primary,36.4012075,32.36369944
Mafraq,Rawdat Al-Amira Basma,Primary,36.37377778,32.29340028
Mafraq,Al-Mkeifteh,Primary,36.65212667,32.29044611
Mafraq,Al-Dafyaneh,Primary,36.56353167,32.31065306
Mafraq,Kome Al-Raf,Primary,36.45759972,32.36305528
Mafraq,Khasha' Al-Sleiteen,Primary,36.598265,32.327164
Mafraq,Houdoud Al-Rwished (Al-Karama),Primary,38.98601151,32.727359
Mafraq,Amra wa Ameira,Primary,36.43089306,32.30656944
Mafraq,Correctional Facility Al Mafraq,Clinic,,
Karak,Al-Rabba,Comprehensive,35.73859631,31.26393921
Karak,Al-Karak,Comprehensive,35.70455,31.18734
Karak,Ay,Comprehensive,35.64221,31.13168
Karak,Talal,Comprehensive,35.76963,31.40703
Karak,Fouqou'e,Comprehensive,35.70304,31.3616
Karak,Al-Qatranah,Comprehensive,36.04687,31.25806
Karak,Al-Mazar Al-Janoubi,Comprehensive,35.6912,31.06583
Karak,Ghoor Al-Safi Hospital,Hospital,35.4871001,31.0422776
Karak,Al-Karak Governmental Hospital,Hospital,35.72437,31.14693
Karak,Ghor Al-Mazra'a/ South Ghor,Comprehensive,35.5199123,31.2607465
Karak,Al-Ma'amourah/ South Ghor,Primary,35.4591026,30.9191416
Karak,Ghor Al-Safi( saleha bent asem/ South Ghor),Primary,35.4874399,31.0416487
Karak,Fifa/ South Ghor,Primary,35.451263,30.937862
Karak,Ghor Al-Haditha/ South Ghor,Primary,35.5333259,31.2869075
Karak,Correctional Facility Al Karak,Clinic,,
Tafeileh,Al-Tafilah Al-Shamel,Comprehensive,35.61378,30.83442
Tafeileh,Bassirah,Comprehensive,35.61186,30.73182
Tafeileh,Al-Qadissiah/ Tafeileh,Comprehensive,35.63547,30.65327
Tafeileh,Al-Hassa,Comprehensive,35.98119,30.82662
Tafeileh,Al-Eiss,Primary,35.64551,30.84137
Tafeileh,Ein Al-Baidah,Primary,35.59568,30.78942
Tafeileh,Sanfahah,Primary,35.56844,30.8411
Tafeileh,Al-Jarf,Primary,35.86326,30.68966
Tafeileh,Arweem,Primary,35.58316,30.82042
Tafeileh,Ayma,Primary,35.59664,30.87624
Tafeileh,Wadi Zaid,Primary,35.60591,30.83801
Tafeileh,Arhab,Primary,35.61483,30.93832
Tafeileh,Al-Mansourah,Primary,35.61631,30.84606
Tafeileh,Abu Banna,Primary,35.68506,30.8752
Tafeileh,Ghrandal,Primary,35.65358,30.71173
Tafeileh,Al-Tafilah Al-Awali,Primary,35.61328,30.83474
Tafeileh,Correctional Facility Al Tafilah,Clinic,,
Ma'an,Ma'an HC,Comprehensive,35.72963,30.19698
Ma'an,Al-Shobak,Comprehensive,35.541725,30.519103
Ma'an,Wadi Mousa,Comprehensive,35.48472,30.32206
Ma'an,Al-Husseiniya/ Maan,Comprehensive,35.79078,30.59696
Ma'an,Al-Jafer,Comprehensive,36.17425,30.31657
Ma'an,Ma'an Hospital,Hospital,35.72828,30.19188
Ma'an,Queen Rania Hospital,Hospital,35.4525,30.27094
Ma'an,Correctional Facility Maan,Clinic,,
Ma'an,Soumow Al-Amira Rahma Bent Al-Hasan,Primary,35.738533,30.199584
Ma'an,Al-Mreigha,Primary,35.51633,30.08627
Ma'an,Roudet Al-Amir Al-Rasheed (Al-Qa'a),Primary,35.55053,30.28327
Ma'an,Al-Taibeh Al-Janoubieh,Primary,35.46666,30.25252
Aqaba,Al-Aqaba,Comprehensive,35.01087102,29.53548718
Aqaba,Al-Qweirah,Comprehensive,35.30399,29.79084
Aqaba,Al-Reesha,Comprehensive,35.21879,30.22482
Aqaba,Al-Deesah,Primary,35.50252,29.65702
Aqaba,Al-Khazzan (Al-Shlalah),Primary,35.01484,29.526
Aqaba,Qreiqrah,Primary,35.40086,30.62932
Aqaba,Al-Baldah Al-Qadeemah,Primary,35.00642,29.52186
Aqaba,Rahma,Primary,35.14184,29.9146
Aqaba,Al-Amira Basma,Primary,35.00261,29.55687
Aqaba,Rum,Primary,35.42357,29.57625
Aqaba,AL_shameya,Primary,35.069,29.591
Aqaba,Hai AL-karamah,Primary,35.03,29.564
Aqaba,Correctional Facility Aqaba,Clinic,,
